client_id,train_rows,test_rows
1,1825,457
2,1902,476
3,2036,510
4,1780,445
5,1844,461
6,2026,507
7,1992,498
8,1849,463
9,2051,513
10,1605,402
11,2060,516
12,2024,507
13,1798,450
14,1859,465
15,1789,448
16,1985,497
17,1978,495
18,1897,475
19,1885,472
20,1935,484
21,1800,450
22,1937,485
23,1724,431
24,1742,436
25,1754,439
26,1842,461
27,1740,436
28,2083,521
29,1882,471
30,1706,427
31,1619,405
32,1923,481
33,1802,451
34,1860,466
35,1778,445
36,1742,436
37,1709,428
38,1702,426
39,1814,454
40,1769,443
41,1764,442
42,1824,457
43,1841,461
44,1772,443
45,1942,486
46,1660,416
47,1809,453
48,1773,444
49,1801,451
50,1776,445
51,1758,440
52,2004,501
53,1829,458
54,1784,446
55,1838,460
56,1778,445
57,1912,479
58,1758,440
59,1865,467
60,1672,418
61,1708,427
62,1943,486
63,2057,515
64,1840,460
65,2017,505
66,1812,453
67,1588,397
68,1663,416
69,1814,454
70,1937,485
71,1797,450
72,1694,424
73,1768,443
74,1837,460
75,1842,461
76,1764,441
77,1881,471
78,1877,470
79,1974,494
80,1928,482
81,1830,458
82,1737,435
83,1912,479
84,1854,464
85,1816,454
86,1749,438
87,1650,413
88,1864,467
89,1784,446
90,1928,483
91,1770,443
92,1726,432
93,1761,441
94,1823,456
95,1800,450
96,1688,422
97,1977,495
98,1812,453
99,1754,439
100,1680,420
101,1628,407
102,1924,481
103,1771,443
104,1841,461
105,1888,473
106,1724,431
107,1661,416
108,1849,463
109,1788,447
110,1860,465
111,1792,448
112,1703,426
113,1757,440
114,1902,476
115,1933,484
116,1820,456
117,1669,418
118,1810,453
119,1844,462
120,1773,444
121,1911,478
122,1760,441
123,1739,435
124,1757,440
125,1977,495
126,1903,476
127,1703,426
128,1964,492
129,1933,484
130,1694,424
131,1772,443
132,1882,471
133,1687,422
134,1720,431
135,1694,424
136,1805,452
137,1788,447
138,1664,417
139,1823,456
140,1756,439
141,1832,459
142,1713,429
143,1789,448
144,1798,450
145,1828,457
146,1723,431
147,1750,438
148,1728,432
149,1775,444
150,1801,451
151,1868,468
152,1692,423
153,1764,442
154,1710,428
155,1766,442
156,1753,439
157,1720,430
158,1544,387
159,1725,432
160,1612,403
161,1676,420
162,1834,459
163,1854,464
164,1722,431
165,1630,408
166,1917,480
167,1664,417
168,1773,444
169,1757,440
170,1857,465
171,1892,473
172,1796,450
173,1724,431
174,1807,452
175,1976,494
176,1936,484
177,1767,442
178,1813,454
179,1756,439
180,2033,509
181,1620,406
182,1649,413
183,1772,443
184,1629,408
185,1756,439
186,1696,425
187,1709,428
188,1789,448
189,1828,458
190,1731,433
191,1773,444
192,1531,383
193,1597,400
194,1869,468
195,1699,425
196,1688,422
197,1759,440
198,1744,437
199,1748,438
200,1761,441
201,1557,390
202,1816,454
203,1683,421
204,1660,416
205,1610,403
206,1652,414
207,1762,441
208,1692,424
209,1835,459
210,1776,445
211,1688,422
212,1699,425
213,1700,425
214,1583,396
215,1706,427
216,1729,433
217,1794,449
218,1741,436
219,1671,418
220,1612,404
221,1553,389
222,1720,430
223,1757,440
224,1713,429
225,1607,402
226,1731,433
227,1771,443
228,1576,394
229,1578,395
230,1617,405
231,1641,411
232,1873,469
233,1648,413
234,1692,423
235,1688,423
236,1564,391
237,1756,439
238,1668,417
239,1597,400
240,1724,432
241,1500,375
242,1663,416
243,1653,414
244,1597,400
245,1616,404
246,1758,440
247,1712,428
248,1644,412
249,1600,401
250,1677,420
251,1681,421
252,1805,452
253,1471,368
254,1544,387
255,1642,411
256,1740,436
257,1665,417
258,1583,396
259,1739,435
260,1600,400
261,1596,399
262,1670,418
263,1702,426
264,1685,422
265,1676,419
266,1652,414
267,1756,439
268,1900,476
269,1480,371
270,1755,439
271,1632,409
272,1645,412
273,1723,431
274,1572,393
275,1504,377
276,1780,445
277,1517,380
278,1821,456
279,1538,385
280,1784,446
281,1767,442
282,1924,481
283,1780,446
284,1542,386
285,1443,361
286,1628,408
287,1708,428
288,1485,372
289,1770,443
290,1568,393
291,1645,412
292,1524,381
293,1572,394
294,1574,394
295,1711,428
296,1632,408
297,1694,424
298,1512,379
299,1650,413
300,1494,374
301,1674,419
302,1548,387
303,1638,410
304,1612,403
305,1581,396
306,1524,381
307,1615,404
308,1594,399
309,1506,377
310,1627,407
311,1700,426
312,1523,381
313,1506,377
314,1485,372
315,1579,395
316,1606,402
317,1510,378
318,1400,351
319,1493,374
320,1567,392
321,1483,371
322,1464,366
323,1512,378
324,1432,359
325,1370,343
326,1558,390
327,1529,383
328,1525,382
329,1458,365
330,1758,440
331,1797,450
332,1624,407
333,1598,400
334,1539,385
335,1485,372
336,1692,424
337,1582,396
338,1651,413
339,1605,402
340,1559,390
341,1577,395
342,1460,365
343,1816,454
344,1554,389
345,1592,399
346,1506,377
347,1505,377
348,1472,368
349,1532,384
350,1522,381
351,1308,328
352,1392,349
353,1292,324
354,1388,347
355,1372,343
356,1424,357
357,1304,327
358,1411,353
359,1551,388
360,1504,377
