feature,delta_composite_loss,delta_airflow_f1,delta_mae_y_target_temp_main,delta_mae_y_target_temp_toilet,delta_mae_y_target_light,delta_mae_y_target_sound
age,0.006079068094170026,0.0,0.010660124563595552,0.00011707738213928565,0.0055084349934801935,0.008030635437460631
hours_since_last_symptom_change,0.0008602393411507592,0.0,0.0003018533920822186,-1.6752578613221658e-05,0.0005988020628375779,0.002557054488297794
prev_target_temp_toilet,0.0003056872512274822,0.0,-0.00040035294502427377,4.863742349314748e-05,0.001257053427279331,0.0003174110991679413
bp_systolic,0.0002298540720460096,0.0,-0.00016592159051098676,-3.7790787473568344e-05,0.0004028444400230313,0.0007202842261424536
diagnosis_11,7.827479591782094e-05,0.0,2.8326161969349783e-05,2.287484083041136e-06,0.00018449791997987575,9.798761763413211e-05
trigger_med_19,5.616909092509559e-05,0.0,3.965180468101792e-05,-5.2285636371607325e-06,9.331824938740851e-05,9.693487326956074e-05
active_med_16,4.8731348240238503e-05,0.0,2.3777479056352746e-05,4.796958462449652e-06,0.00010605505522498504,6.029590021050524e-05
trigger_med_16,4.009086379497262e-05,0.0,7.400966349102589e-06,-7.014626511647748e-06,4.7314921722829695e-05,0.00011266219361694141
trigger_med_11,3.316216470494737e-05,0.0,-2.5884969234724053e-07,4.039522902843373e-07,0.00014110844049319837,-8.60488427179007e-06
active_med_5,3.125020481320462e-05,0.0,1.163606220044855e-05,4.920212278491931e-06,5.756176697957471e-05,5.088277778853012e-05
diagnosis_7,2.256362077091012e-05,0.0,1.9806938264643748e-05,1.6901950896652806e-06,7.80151623303027e-06,6.095583349718936e-05
active_med_2,2.146836301264443e-05,0.0,1.5110017201891424e-06,2.2211038146480178e-06,3.6383258915861916e-05,4.5758087596325936e-05
trigger_med_12,1.7740060165749583e-05,0.0,7.528523207955828e-06,-9.008369570295827e-07,1.1384316197293742e-05,5.294823821699879e-05
active_med_3,1.4760445029793345e-05,0.0,3.3340374044676935e-05,2.291119987063439e-06,2.2007694356673824e-05,1.4025917334237192e-06
symptom_19,1.0183984144873648e-05,0.0,8.082248064589237e-06,1.4506924106427732e-06,-2.3125684869285124e-06,3.3515564584973845e-05
symptom_34,9.21336451398247e-06,0.0,-1.0711640567873104e-05,-2.6550773313260834e-06,2.582912972037832e-05,2.439104622631305e-05
symptom_3,9.038190651011746e-06,0.0,1.0484346521177912e-05,9.450015170386905e-07,1.9834357651404844e-05,4.889056915757806e-06
symptom_0,7.760936540535113e-06,0.0,3.808589213472047e-05,-2.021195797397013e-06,1.6751377762247444e-05,-2.177232793521e-05
active_med_9,6.028766105004024e-06,0.0,8.268860012705659e-06,1.2522187429198084e-06,7.317307195719991e-06,7.2766784704469956e-06
trigger_med_7,5.886211976502409e-06,0.0,-3.4922025720085514e-06,-1.7378954808577873e-07,-1.027726677094165e-06,2.8238566700977685e-05
active_med_22,3.869091059982566e-06,0.0,-2.5510491084013154e-06,3.8613302386636406e-06,1.4277361788828102e-05,-1.1127868049243261e-07
