client_id,train_rows,test_rows
1,16037,4010
2,16184,4047
3,17031,4258
4,16011,4003
5,15280,3821
6,16926,4232
7,16247,4062
8,15627,3907
9,16608,4152
10,15241,3811
11,16189,4048
12,17124,4281
13,14941,3736
14,15340,3835
15,15345,3837
16,15680,3920
17,15456,3865
18,15912,3979
19,15705,3927
20,16760,4191
21,15269,3818
22,16416,4105
23,15894,3974
24,16651,4163
25,15013,3754
26,15706,3927
27,14993,3749
28,16442,4111
29,15340,3836
30,14512,3628
31,15217,3805
32,17112,4278
33,15526,3882
34,15626,3907
35,14932,3734
36,15097,3775
37,15212,3804
38,15110,3778
39,14518,3630
40,15529,3883
41,15924,3981
42,15743,3936
43,14996,3749
44,15124,3781
45,17087,4272
46,14974,3744
47,15341,3836
48,15193,3799
49,15268,3817
50,15527,3882
51,14500,3626
52,16850,4213
53,15866,3967
54,14804,3701
55,15343,3836
56,15005,3752
57,16270,4068
58,15896,3974
59,16533,4134
60,15140,3786
61,15089,3773
62,15541,3886
63,16509,4128
64,15765,3942
65,16600,4151
66,15460,3865
67,14360,3590
68,14984,3746
69,15124,3781
70,15556,3889
71,15597,3900
72,14860,3715
73,15197,3800
74,16109,4028
75,15208,3802
76,14893,3724
77,15599,3900
78,15216,3805
79,15965,3992
80,16191,4048
81,15452,3863
82,15580,3896
83,16549,4138
84,15614,3904
85,15449,3863
86,15571,3893
87,14905,3727
88,15953,3989
89,15584,3896
90,16007,4002
91,15167,3792
92,14430,3608
93,15260,3815
94,15604,3901
95,15660,3916
96,15257,3815
97,16526,4132
98,16444,4112
99,15068,3768
100,15930,3983
101,15326,3832
102,15932,3984
103,15549,3888
104,16296,4075
105,15316,3829
106,14847,3712
107,14772,3694
108,15511,3878
109,15761,3941
110,15426,3857
111,15572,3894
112,15333,3834
113,15419,3855
114,15436,3859
115,17069,4268
116,15238,3810
117,15097,3775
118,14884,3721
119,14514,3629
120,14805,3702
121,16085,4022
122,15562,3891
123,15253,3814
124,15116,3779
125,16131,4033
126,15335,3834
127,15392,3849
128,15505,3877
129,16418,4105
130,14436,3610
131,15766,3942
132,15688,3922
133,15044,3761
134,14360,3591
135,14539,3635
136,16071,4018
137,15403,3851
138,15456,3864
139,14860,3715
140,15152,3788
141,16350,4088
142,15004,3751
143,15359,3840
144,15001,3751
145,15670,3918
146,14888,3722
147,15554,3889
148,15149,3788
149,15546,3887
150,15384,3846
151,15679,3920
152,15303,3826
153,15080,3771
154,15685,3922
155,15128,3783
156,15274,3819
157,14933,3734
158,14663,3666
159,15318,3830
160,15395,3849
161,15203,3801
162,15972,3994
163,15045,3762
164,15622,3906
165,14205,3552
166,16496,4125
167,16426,4107
168,15929,3983
169,15309,3828
170,15414,3854
171,15404,3852
172,15175,3794
173,15386,3847
174,17042,4261
175,16484,4121
176,16926,4232
177,15221,3806
178,14316,3579
179,15161,3791
180,16538,4135
181,15086,3772
182,14933,3734
183,14833,3709
184,14498,3625
185,14758,3690
186,15693,3924
187,15466,3867
188,14958,3740
189,15282,3821
190,15199,3800
191,14771,3693
192,14146,3537
193,14666,3667
194,15126,3782
195,14068,3517
196,14856,3715
197,14527,3632
198,15030,3758
199,15462,3866
200,15205,3802
201,15307,3827
202,15157,3790
203,14398,3600
204,14808,3703
205,14195,3549
206,14910,3728
207,15313,3829
208,14656,3665
209,15664,3917
210,15465,3867
211,16114,4029
212,16014,4004
213,14732,3684
214,14629,3658
215,6380,1596
